number,background,beard,dress,eyes,eyewear,face,head,skin
1,orange,muscat,jordan,gotcha,thug,love,devil,ink
2,mint,tehran,cupid,what,vision,lol,paris,dmt
3,orange,none,la,bro,vegas,lol,king,dmt
4,brown,none,boston,sus,office,smile,ride,trippy
5,green,tehran,lahore,where,none,party,monk,plain
6,dark-green,none,boston,bro,none,lol,noogle,ink
7,mint,rhodes,saul,eth,none,lol,monk,ink
8,purple,lebanon,army,eth,none,lol,bingham,plain
9,teal,none,luffy,bro,none,cheeky,none,ape
10,teal,muscat,cupid,dead,machine,candy,travolta,trippy
11,teal,lebanon,la,happy,party,gurgaon,taproot,plain
12,orange,tehran,none,zobro,none,cheeky,bravo,ink
13,dark-green,none,puffer,love,3d,smile,pop,avatar
14,purple,none,kill,sus,none,smile,golf,machine
15,mint,nice,navy,gotcha,none,love,bravo,plain
16,dark-green,tehran,cold,gotcha,gandhi,love,nj,dalmation
17,mint,none,poker,happy,party,gurgaon,scotland,machine
18,dark-green,nice,lol,happy,gold,mexico,food,avatar
19,red,none,nyc,sic,machine,cheeky,panama,plain
20,teal,tehran,jdh,sus,miami,holmes,noogle,gold
21,orange,nice,none,sus,none,love,samurai,ink
22,green,none,la,bro,office,smile,london,dalmation
23,mint,austin,none,sic,love,mexico,alabama,machine
24,orange,rhodes,eminem,what,tech,cheeky,none,alien
25,dark-green,nice,none,sus,office,smile,dream,trippy
26,teal,moscow,jobs,sic,none,lol,crete,plain
27,mint,washington,none,fire,love,gurgaon,pods,plain
28,teal,rhodes,party,eth,none,smile,bravo,ink
29,yellow,none,taipei,btc,none,sic,scotland,gold
30,orange,none,kill,where,office,mexico,devil,tiger
31,dark-green,austin,luffy,eth,none,smile,punk,plain
32,red,austin,rich,sus,android,cheeky,samurai,tiger
33,brown,none,hawaii,btc,none,seville,crete,trippy
34,brown,moscow,monaco,bro,xmen,cheeky,ride,avatar
35,dark-green,none,venice,bro,potter,love,dream,plain
36,green,none,rich,bro,vision,party,crete,trippy
37,teal,rhodes,saul,zobro,none,smile,travolta,plain
38,purple,none,none,where,none,bigo,zoro,plain
39,yellow,none,malaga,where,pirate,sic,bingham,dalmation
40,brown,muscat,gold,bro,machine,candy,london,plain
41,blue,nice,none,what,party,love,scotland,ink
42,red,austin,none,btc,none,candy,ride,ink
43,red,none,samurai,happy,machine,lol,king,avatar
44,red,none,guantanamo,bro,3d,seville,noogle,trippy
45,blue,muscat,dead,zobro,gold,cheeky,pop,trippy
46,purple,none,none,what,pirate,sic,scotland,dalmation
47,dark-green,tehran,mumbai,what,miami,cheeky,angel,plain
48,yellow,none,lol,btc,none,gurgaon,queen,ape
49,orange,nice,bavaria,bro,matrix,nyc,army,ink
50,red,none,dead,lost,3d,nyc,pods,machine
51,yellow,tehran,poker,bro,tech,smile,sumo,dalmation
52,teal,none,kill,bro,none,candy,mexico,ink
53,yellow,lebanon,space,what,gandhi,sic,pirate,trippy
54,green,nice,hack,dead,matrix,smile,none,avatar
55,teal,none,guantanamo,lost,love,gurgaon,belair,machine
56,green,none,airforce,bro,miami,cheeky,pirate,plain
57,dark-green,rhodes,eminem,happy,gandhi,love,none,dmt
58,teal,none,taipei,gotcha,machine,cheeky,none,alien
59,orange,none,jdh,lost,tech,party,bravo,plain
60,mint,washington,army,sic,gold,lol,taproot,machine
61,teal,muscat,rio,sus,thug,nyc,nyc,ink
62,dark-green,rhodes,hack,gotcha,zorro,gurgaon,none,tiger
63,mint,muscat,agra,lost,love,love,noogle,gold
64,orange,none,kill,happy,xmen,lol,monk,ink
65,brown,none,jobs,where,office,cheeky,oregon,avatar
66,teal,none,none,happy,none,naples,sparta,avatar
67,blue,muscat,la,eth,none,smile,taproot,plain
68,purple,none,agra,bro,matrix,lol,jerusalem,plain
69,orange,moscow,hack,fire,vision,smile,none,tiger
70,purple,none,hawaii,happy,thug,sic,alabama,ink
71,brown,none,eminem,happy,xmen,smile,none,trippy
72,red,none,army,bro,android,cheeky,none,plain
73,blue,none,night,sus,potter,sic,angel,ape
74,blue,tehran,army,where,none,cheeky,aantonop,dalmation
75,red,none,malaga,what,gandhi,smile,oregon,avatar
76,dark-green,tehran,navy,dead,gold,havana,king,dalmation
77,green,moscow,sailor,fire,matrix,smile,devil,tiger
78,mint,austin,navy,love,pirate,gurgaon,golf,trippy
79,green,none,mib,bro,office,sic,jerusalem,avatar
80,yellow,lebanon,jobs,zobro,none,smile,messi,dalmation
81,orange,tehran,none,fire,tech,lol,monk,dalmation
82,dark-green,none,cold,zobro,tech,party,food,tiger
83,mint,none,lahore,sus,zorro,party,music,tiger
84,red,muscat,ride,eth,none,love,popeye,plain
85,orange,nice,taipei,happy,thug,nyc,golf,avatar
86,blue,none,kermit,where,gold,naples,rico,panda
87,green,lebanon,none,btc,none,nyc,golf,plain
88,orange,none,la,happy,machine,naples,king,ink
89,brown,none,jobs,btc,none,lol,popeye,trippy
90,orange,none,airforce,sus,party,lol,dream,tiger
91,purple,lebanon,ride,btc,none,candy,king,tiger
92,teal,none,la,zobro,3d,lol,aantonop,dmt
93,orange,muscat,party,lost,none,gurgaon,dream,zombie
94,teal,none,jdh,lost,matrix,smile,kazan,zombie
95,red,moscow,ride,zobro,thug,sic,panama,plain
96,green,none,none,bro,potter,naples,sparta,ink
97,yellow,muscat,puffer,where,none,love,kazan,trippy
98,teal,austin,monaco,gotcha,potter,cheeky,messi,alien
99,red,nice,la,bro,party,naples,pirate,avatar
100,mint,none,nyc,bro,none,sic,rico,zombie
101,blue,none,wallst,sus,vision,smile,fireman,ink
102,purple,none,smart,happy,thug,cheeky,golf,dalmation
103,blue,austin,kill,bro,thug,bigo,aantonop,tiger
104,red,hulk,bull,dead,xmen,candy,kazan,plain
105,blue,none,wallst,bro,thug,holmes,golf,trippy
106,orange,none,poker,sic,tech,lol,aantonop,avatar
107,dark-green,washington,space,gotcha,love,party,vegas,trippy
108,red,rhodes,ride,happy,android,smile,dream,dalmation
109,yellow,none,btc,sus,none,smile,cairo,trippy
110,blue,nice,kobe,sus,android,lol,travolta,plain
111,blue,none,none,sus,android,lol,jerusalem,avatar
112,red,none,guantanamo,eth,none,smile,popeye,ink
113,red,hulk,malibu,bro,vegas,love,travolta,dmt
114,brown,rhodes,wallst,zobro,vegas,love,fireman,machine
115,green,muscat,airforce,zobro,none,nyc,london,plain
116,red,none,party,love,zorro,cheeky,taproot,plain
117,green,austin,zobro,what,miami,party,food,trippy
118,teal,washington,ride,gotcha,none,lol,dream,plain
119,orange,washington,none,happy,thug,cheeky,vegas,alien
120,mint,moscow,law,happy,none,smile,alabama,tiger
121,teal,austin,jdh,lost,potter,naples,belair,avatar
122,green,none,boston,sic,none,bigo,cairo,avatar
123,teal,none,puffer,sic,vision,nyc,oregon,avatar
124,purple,muscat,night,where,party,cheeky,aantonop,tiger
125,red,none,cupid,sus,none,seville,military,trippy
126,yellow,muscat,la,bro,miami,smile,minnesota,zombie
127,teal,none,none,lost,none,smile,bingham,ink
128,dark-green,hulk,none,gotcha,thug,420,travolta,tiger
129,brown,none,samurai,love,none,lol,military,ink
130,purple,none,none,happy,miami,gurgaon,scotland,plain
131,purple,muscat,jdh,bro,potter,love,travolta,avatar
132,brown,none,none,fire,vision,havana,nj,trippy
133,brown,hulk,none,btc,none,cheeky,sumo,tiger
134,mint,none,none,dead,miami,lol,athens,ink
135,brown,none,guest,gotcha,thug,love,noogle,plain
136,green,none,farming,dead,android,nyc,nyc,tiger
137,blue,muscat,poker,gotcha,xmen,lol,none,ink
138,yellow,none,hack,bro,none,cheeky,none,gold
139,yellow,none,night,sic,gandhi,bigo,minnesota,dmt
140,yellow,nice,sicily,what,3d,lol,devil,machine
141,mint,none,sicily,zobro,love,sic,bravo,dalmation
142,brown,moscow,virginia,gotcha,none,candy,messi,tiger
143,red,tehran,cupid,what,android,lol,bravo,dalmation
144,red,hulk,taipei,bro,vision,bigo,noogle,dalmation
