number,background,beard,dress,eyes,eyewear,face,head,skin
1,blue,none,zion,sus,gandhi,smile,popeye,plain
2,green,nice,sicily,gotcha,vegas,cheeky,pods,avatar
3,blue,washington,king,bro,vegas,smile,scotland,plain
4,brown,none,naruto,zobro,none,candy,samurai,plain
5,blue,austin,track,sus,matrix,naples,messi,dalmation
6,red,none,none,lost,gandhi,sic,monk,tiger
7,green,tehran,malaga,sus,gandhi,party,london,trippy
8,purple,none,malibu,what,zorro,smile,devil,ink
9,blue,none,army,bro,3d,bigo,noogle,dmt
10,mint,none,shinobi,where,love,lol,nj,ink
11,red,none,none,what,none,gurgaon,pirate,dalmation
12,orange,none,none,lost,potter,vape,fireman,ink
13,purple,none,space,zobro,none,smile,hell,ink
14,yellow,nice,bavaria,bro,gandhi,smile,bingham,plain
15,green,none,amsterdam,sus,potter,party,pirate,ink
16,red,muscat,jdh,happy,tech,party,sparta,zombie
17,red,none,amazon,lost,thug,tobacco,angel,plain
18,mint,rhodes,kobe,bro,gold,love,minnesota,dalmation
19,teal,none,taipei,where,matrix,420,bravo,tiger
20,dark-green,lebanon,airforce,happy,party,party,music,machine
21,orange,none,space,bro,gandhi,smile,crete,dalmation
22,yellow,none,track,where,pirate,bigo,king,zombie
23,yellow,none,btc,bro,none,sic,minnesota,panda
24,red,none,none,bro,miami,naples,jerusalem,ink
25,teal,none,space,bro,3d,lol,minnesota,plain
26,green,none,party,what,gandhi,sic,angel,tiger
27,green,lebanon,malaga,bro,gandhi,candy,jerusalem,plain
28,dark-green,tehran,monaco,what,vision,smile,ninja,plain
29,yellow,none,malibu,sus,none,love,none,plain
30,purple,moscow,smart,where,vision,smile,scotland,trippy
31,orange,none,airforce,fire,office,havana,sparta,plain
32,orange,none,none,dead,matrix,naples,angel,avatar
33,yellow,none,bull,btc,none,420,fireman,tiger
34,green,none,mib,bro,matrix,sic,king,ink
35,purple,none,boston,where,machine,cheeky,pop,tiger
36,brown,muscat,smart,happy,machine,party,food,plain
37,green,none,nyc,dead,tech,bigo,noogle,plain
38,brown,none,zobro,eth,none,gurgaon,none,avatar
39,yellow,rhodes,none,zobro,none,party,hell,tiger
40,mint,austin,track,btc,none,naples,panama,alien
41,orange,none,la,zobro,matrix,nyc,hell,ape
42,teal,tehran,jobs,zobro,none,sic,ride,ink
43,green,muscat,airforce,what,love,sic,king,plain
44,brown,none,la,bro,vision,havana,punk,machine
45,red,moscow,hawaii,bro,vision,tobacco,pirate,trippy
46,teal,none,naruto,zobro,potter,smile,military,plain
47,yellow,austin,btc,bro,vegas,nyc,music,tiger
48,mint,muscat,night,what,android,smile,nj,dalmation
49,red,tehran,knight,bro,none,cheeky,crete,trippy
50,yellow,none,jdh,bro,android,nyc,army,zombie
51,orange,nice,poker,where,office,gurgaon,pop,plain
52,red,none,agra,bro,potter,sic,taproot,dmt
53,brown,muscat,jdh,eth,none,love,none,machine
54,brown,muscat,cold,what,3d,bigo,sumo,trippy
55,brown,none,virginia,sus,office,love,crete,plain
56,green,austin,none,bro,none,naples,belair,plain
57,yellow,hulk,space,where,matrix,420,bravo,avatar
58,dark-green,none,zobro,where,love,naples,food,plain
59,red,nice,none,btc,none,bigo,military,alien
60,yellow,none,none,bro,android,lol,sumo,plain
61,teal,none,jobs,what,none,nyc,aantonop,avatar
62,green,hulk,bavaria,bro,office,cheeky,cairo,plain
63,purple,none,malibu,zobro,gandhi,lol,nj,ink
64,mint,muscat,king,bro,love,cheeky,panama,ink
65,teal,muscat,fairbanks,bro,tech,cheeky,kazan,plain
66,dark-green,muscat,space,bro,party,seville,monk,trippy
67,blue,none,none,gotcha,none,love,none,machine
68,orange,austin,guantanamo,happy,party,cheeky,zoro,avatar
69,purple,austin,cupid,bro,miami,lol,kazan,dmt
70,brown,none,guest,bro,none,seville,music,machine
71,mint,none,jobs,sus,android,smile,crete,plain
72,green,rhodes,puffer,sus,none,sic,army,zombie
73,teal,none,hack,sus,none,smile,none,dalmation
74,teal,none,guest,sic,vegas,tobacco,alabama,ink
75,orange,none,ride,where,none,havana,king,dalmation
76,teal,none,rich,eth,none,smile,devil,avatar
77,mint,none,king,where,xmen,lol,oregon,plain
78,orange,none,jdh,fire,gold,sic,travolta,trippy
79,mint,tehran,navy,sus,none,candy,noogle,dalmation
80,red,none,samurai,sus,gold,smile,taproot,dalmation
81,purple,tehran,none,sus,none,bigo,zoro,trippy
82,red,rhodes,gold,sic,gandhi,nyc,sparta,dalmation
83,blue,nice,rio,zobro,gandhi,party,army,ape
84,teal,none,kill,zobro,gandhi,bigo,jerusalem,tiger
85,purple,none,rich,gotcha,3d,love,jerusalem,plain
86,yellow,nice,zobro,happy,miami,mexico,noogle,tiger
87,red,muscat,btc,sus,vegas,gurgaon,punk,plain
88,teal,none,btc,love,matrix,love,fireman,ink
89,teal,nice,zobro,what,love,smile,military,tiger
90,green,tehran,king,fire,office,bigo,military,tiger
91,green,hulk,dead,happy,none,love,pop,avatar
92,teal,none,sailor,happy,office,smile,food,plain
93,teal,tehran,eminem,bro,gandhi,smile,none,trippy
94,yellow,tehran,nyc,bro,office,bigo,taproot,panda
95,green,none,naruto,dead,potter,gurgaon,vegas,tiger
96,purple,rhodes,gala,where,none,havana,army,tiger
97,dark-green,moscow,law,happy,potter,mexico,london,alien
98,blue,none,none,btc,none,party,paris,trippy
99,green,muscat,ride,lost,none,lol,none,ink
100,blue,none,zion,sic,vision,naples,ride,trippy
101,blue,none,venice,gotcha,android,nyc,sparta,machine
102,red,hulk,la,sus,none,gurgaon,none,machine
103,blue,none,farming,lost,gandhi,nyc,ride,machine
104,yellow,none,malaga,bro,miami,seville,punk,dmt
105,blue,muscat,army,dead,gandhi,seville,none,plain
106,blue,hulk,lol,sic,pirate,420,zoro,avatar
107,yellow,nice,bavaria,where,none,love,sparta,plain
108,yellow,austin,kobe,fire,tech,naples,nj,avatar
109,red,hulk,agra,eth,none,smile,paris,plain
110,teal,austin,agra,sus,love,cheeky,vegas,avatar
111,yellow,muscat,hawaii,gotcha,vegas,smile,angel,plain
112,green,none,venice,gotcha,gold,smile,pop,avatar
113,dark-green,washington,lol,bro,gold,love,king,avatar
114,orange,washington,none,happy,pirate,smile,london,machine
115,green,none,taipei,happy,pirate,love,zoro,zombie
116,teal,none,la,btc,none,havana,rico,trippy
117,blue,none,amsterdam,zobro,3d,candy,punk,gold
118,orange,nice,airforce,bro,none,cheeky,nj,dmt
119,orange,lebanon,gold,gotcha,gandhi,naples,monk,dalmation
120,orange,lebanon,saul,sus,potter,420,sumo,trippy
121,teal,rhodes,none,happy,pirate,smile,belair,machine
122,mint,muscat,none,happy,gandhi,love,pirate,ink
123,green,muscat,guest,fire,thug,smile,belair,plain
124,green,none,none,sic,tech,bigo,army,gold
125,green,rhodes,party,happy,none,candy,alabama,tiger
126,dark-green,muscat,hack,bro,gandhi,candy,none,ink
127,red,none,hack,bro,thug,bigo,none,plain
128,red,lebanon,boston,bro,gold,vape,alabama,tiger
129,orange,lebanon,samurai,eth,none,naples,bingham,plain
130,mint,moscow,none,happy,vegas,havana,bingham,plain
131,brown,muscat,none,zobro,tech,smile,bravo,tiger
132,orange,muscat,jdh,gotcha,tech,cheeky,monk,plain
133,green,muscat,none,bro,xmen,sic,sumo,avatar
134,blue,hulk,none,bro,party,naples,ride,zombie
135,green,none,dead,eth,none,love,golf,plain
136,yellow,none,lahore,zobro,gandhi,sic,kazan,ink
137,green,rhodes,zobro,what,thug,sic,kazan,ink
138,red,hulk,zobro,what,none,smile,pods,zombie
139,blue,austin,eminem,what,pirate,nyc,none,plain
140,yellow,tehran,gold,what,xmen,lol,panama,trippy
141,brown,none,cupid,happy,miami,candy,nyc,alien
142,yellow,none,popeye,lost,android,nyc,bravo,tiger
143,green,none,party,happy,party,naples,fireman,trippy
144,teal,none,navy,zobro,none,lol,nyc,dalmation
145,yellow,rhodes,space,zobro,none,naples,music,plain
146,brown,none,la,gotcha,thug,naples,punk,trippy
147,mint,none,none,sus,vision,lol,aantonop,dalmation
148,purple,none,virginia,zobro,none,love,minnesota,avatar
149,purple,none,la,gotcha,gandhi,mexico,taproot,ink
150,blue,none,none,gotcha,matrix,vape,pirate,avatar
151,green,none,kermit,btc,none,cheeky,dream,trippy
152,teal,lebanon,kill,dead,none,lol,mexico,machine
153,blue,hulk,none,happy,none,cheeky,ride,ink
154,red,rhodes,malibu,bro,gold,lol,golf,avatar
155,teal,lebanon,puffer,what,none,vape,paris,alien
156,purple,washington,puffer,btc,none,love,devil,avatar
157,brown,rhodes,boston,btc,none,gurgaon,oregon,dalmation
158,blue,none,jobs,dead,none,cheeky,pirate,plain
159,orange,nice,venice,happy,android,lol,popeye,avatar
160,green,nice,eminem,bro,love,party,none,ink
161,red,none,guantanamo,gotcha,vegas,holmes,crete,tiger
162,blue,none,space,sic,android,smile,ride,trippy
163,teal,none,monaco,bro,thug,gurgaon,minnesota,alien
164,mint,none,none,fire,vegas,cheeky,nj,dalmation
165,brown,lebanon,army,happy,party,havana,bravo,tiger
166,dark-green,none,ninja,fire,none,cheeky,army,alien
167,blue,none,jdh,bro,pirate,holmes,ride,machine
168,dark-green,austin,amazon,what,xmen,smile,aantonop,ink
169,teal,muscat,taipei,where,party,lol,nyc,ink
170,orange,none,hack,gotcha,thug,sic,none,machine
171,blue,austin,king,lost,tech,gurgaon,pirate,ink
172,orange,nice,fairbanks,gotcha,party,mexico,punk,dmt
173,yellow,muscat,track,love,zorro,candy,mexico,dalmation
174,brown,none,agra,zobro,none,party,bingham,plain
175,yellow,none,sicily,bro,miami,bigo,samurai,tiger
176,mint,muscat,rich,love,potter,cheeky,food,zombie
177,orange,austin,none,happy,potter,party,minnesota,dalmation
178,green,tehran,naruto,gotcha,android,bigo,scotland,trippy
179,green,none,jobs,what,none,havana,monk,trippy
180,brown,none,samurai,dead,tech,tobacco,food,tiger
181,purple,none,saul,sic,android,sic,rico,tiger
182,mint,none,venice,where,potter,lol,king,dmt
183,yellow,rhodes,fairbanks,bro,thug,naples,ride,tiger
184,orange,muscat,nyc,what,vegas,cheeky,nyc,plain
185,teal,hulk,none,bro,none,love,pirate,trippy
186,teal,none,king,dead,none,smile,angel,dalmation
187,green,muscat,none,where,vegas,bigo,music,ape
188,yellow,none,none,gotcha,office,love,rico,avatar
