number,background,beard,dress,eyes,eyewear,face,head,skin
1,blue,none,zion,sus,gandhi,smile,popeye,plain
2,green,nice,sicily,gotcha,vegas,cheeky,pods,avatar
4,brown,none,naruto,zobro,none,candy,samurai,plain
5,blue,austin,track,sus,matrix,naples,messi,dalmation
6,red,none,none,lost,gandhi,sic,monk,tiger
8,purple,none,malibu,what,zorro,smile,devil,ink
11,red,none,none,what,none,gurgaon,pirate,dalmation
13,purple,none,space,zobro,none,smile,hell,ink
14,yellow,nice,bavaria,bro,gandhi,smile,bingham,plain
15,green,none,amsterdam,sus,potter,party,pirate,ink
18,mint,rhodes,kobe,bro,gold,love,minnesota,dalmation
19,teal,none,taipei,where,matrix,420,bravo,tiger
21,orange,none,space,bro,gandhi,smile,crete,dalmation
22,yellow,none,track,where,pirate,bigo,king,zombie
25,teal,none,space,bro,3d,lol,minnesota,plain
29,yellow,none,malibu,sus,none,love,none,plain
32,orange,none,none,dead,matrix,naples,angel,avatar
33,yellow,none,bull,btc,none,420,fireman,tiger
34,green,none,mib,bro,matrix,sic,king,ink
38,brown,none,zobro,eth,none,gurgaon,none,avatar
39,yellow,rhodes,none,zobro,none,party,hell,tiger
41,orange,none,la,zobro,matrix,nyc,hell,ape
42,teal,tehran,jobs,zobro,none,sic,ride,ink
46,teal,none,naruto,zobro,potter,smile,military,plain
47,yellow,austin,btc,bro,vegas,nyc,music,tiger
48,mint,muscat,night,what,android,smile,nj,dalmation
50,yellow,none,jdh,bro,android,nyc,army,zombie
51,orange,nice,poker,where,office,gurgaon,pop,plain
53,brown,muscat,jdh,eth,none,love,none,machine
55,brown,none,virginia,sus,office,love,crete,plain
56,green,austin,none,bro,none,naples,belair,plain
57,yellow,hulk,space,where,matrix,420,bravo,avatar
58,dark-green,none,zobro,where,love,naples,food,plain
60,yellow,none,none,bro,android,lol,sumo,plain
61,teal,none,jobs,what,none,nyc,aantonop,avatar
65,teal,muscat,fairbanks,bro,tech,cheeky,kazan,plain
67,blue,none,none,gotcha,none,love,none,machine
71,mint,none,jobs,sus,android,smile,crete,plain
72,green,rhodes,puffer,sus,none,sic,army,zombie
73,teal,none,hack,sus,none,smile,none,dalmation
75,orange,none,ride,where,none,havana,king,dalmation
76,teal,none,rich,eth,none,smile,devil,avatar
77,mint,none,king,where,xmen,lol,oregon,plain
78,orange,none,jdh,fire,gold,sic,travolta,trippy
79,mint,tehran,navy,sus,none,candy,noogle,dalmation
80,red,none,samurai,sus,gold,smile,taproot,dalmation
84,teal,none,kill,zobro,gandhi,bigo,jerusalem,tiger
87,red,muscat,btc,sus,vegas,gurgaon,punk,plain
88,teal,none,btc,love,matrix,love,fireman,ink
91,green,hulk,dead,happy,none,love,pop,avatar
92,teal,none,sailor,happy,office,smile,food,plain
93,teal,tehran,eminem,bro,gandhi,smile,none,trippy
95,green,none,naruto,dead,potter,gurgaon,vegas,tiger
96,purple,rhodes,gala,where,none,havana,army,tiger
98,blue,none,none,btc,none,party,paris,trippy
99,green,muscat,ride,lost,none,lol,none,ink
100,blue,none,zion,sic,vision,naples,ride,trippy
102,red,hulk,la,sus,none,gurgaon,none,machine
104,yellow,none,malaga,bro,miami,seville,punk,dmt
105,blue,muscat,army,dead,gandhi,seville,none,plain
109,red,hulk,agra,eth,none,smile,paris,plain
111,yellow,muscat,hawaii,gotcha,vegas,smile,angel,plain
112,green,none,venice,gotcha,gold,smile,pop,avatar
115,green,none,taipei,happy,pirate,love,zoro,zombie
117,blue,none,amsterdam,zobro,3d,candy,punk,gold
119,orange,lebanon,gold,gotcha,gandhi,naples,monk,dalmation
122,mint,muscat,none,happy,gandhi,love,pirate,ink
123,green,muscat,guest,fire,thug,smile,belair,plain
125,green,rhodes,party,happy,none,candy,alabama,tiger
127,red,none,hack,bro,thug,bigo,none,plain
130,mint,moscow,none,happy,vegas,havana,bingham,plain
131,brown,muscat,none,zobro,tech,smile,bravo,tiger
132,orange,muscat,jdh,gotcha,tech,cheeky,monk,plain
133,green,muscat,none,bro,xmen,sic,sumo,avatar
135,green,none,dead,eth,none,love,golf,plain
136,yellow,none,lahore,zobro,gandhi,sic,kazan,ink
137,green,rhodes,zobro,what,thug,sic,kazan,ink
138,red,hulk,zobro,what,none,smile,pods,zombie
139,blue,austin,eminem,what,pirate,nyc,none,plain
141,brown,none,cupid,happy,miami,candy,nyc,alien
146,brown,none,la,gotcha,thug,naples,punk,trippy
147,mint,none,none,sus,vision,lol,aantonop,dalmation
148,purple,none,virginia,zobro,none,love,minnesota,avatar
150,blue,none,none,gotcha,matrix,vape,pirate,avatar
153,blue,hulk,none,happy,none,cheeky,ride,ink
158,blue,none,jobs,dead,none,cheeky,pirate,plain
161,red,none,guantanamo,gotcha,vegas,holmes,crete,tiger
162,blue,none,space,sic,android,smile,ride,trippy
163,teal,none,monaco,bro,thug,gurgaon,minnesota,alien
164,mint,none,none,fire,vegas,cheeky,nj,dalmation
165,brown,lebanon,army,happy,party,havana,bravo,tiger
168,dark-green,austin,amazon,what,xmen,smile,aantonop,ink
175,yellow,none,sicily,bro,miami,bigo,samurai,tiger
176,mint,muscat,rich,love,potter,cheeky,food,zombie
177,orange,austin,none,happy,potter,party,minnesota,dalmation
181,purple,none,saul,sic,android,sic,rico,tiger
182,mint,none,venice,where,potter,lol,king,dmt
183,yellow,rhodes,fairbanks,bro,thug,naples,ride,tiger
184,orange,muscat,nyc,what,vegas,cheeky,nyc,plain
185,teal,hulk,none,bro,none,love,pirate,trippy
188,yellow,none,none,gotcha,office,love,rico,avatar
190,yellow,none,lahore,sus,vision,love,travolta,plain
191,red,austin,lol,bro,none,bigo,panama,dalmation
195,blue,muscat,bavaria,zobro,none,sic,rico,plain
196,yellow,washington,boston,where,none,gurgaon,devil,plain
198,red,none,none,gotcha,none,smile,sumo,machine
199,brown,none,bavaria,where,tech,gurgaon,pods,alien
200,mint,none,hack,dead,party,smile,none,avatar
202,purple,none,smart,bro,love,sic,london,plain
203,orange,none,rich,bro,none,naples,sparta,zombie
204,mint,none,la,bro,matrix,naples,paris,tiger
205,teal,muscat,sailor,gotcha,matrix,smile,travolta,avatar
206,dark-green,none,cupid,gotcha,zorro,vape,vegas,panda
207,orange,austin,jobs,bro,miami,love,pop,dalmation
208,red,none,guest,happy,zorro,lol,food,plain
209,teal,none,eminem,what,potter,bigo,none,avatar
210,green,washington,agra,sic,none,smile,none,tiger
213,brown,none,bull,gotcha,none,smile,aantonop,dmt
214,brown,none,none,happy,matrix,naples,bravo,plain
216,purple,washington,none,happy,none,naples,army,dmt
217,brown,none,space,gotcha,android,smile,dream,plain
219,purple,none,none,happy,thug,lol,ride,plain
222,blue,none,agra,bro,zorro,gurgaon,none,tiger
228,green,none,gala,happy,thug,nyc,pirate,plain
230,red,washington,guest,bro,none,sic,bravo,plain
231,dark-green,none,jobs,where,potter,love,noogle,plain
235,brown,tehran,lahore,bro,tech,lol,messi,gold
239,dark-green,none,hack,gotcha,office,smile,none,plain
240,yellow,none,jobs,zobro,none,sic,london,trippy
241,red,tehran,none,bro,xmen,smile,aantonop,dmt
242,dark-green,tehran,none,bro,none,smile,pop,plain
246,green,lebanon,mib,bro,love,love,none,dalmation
251,blue,moscow,monaco,dead,none,holmes,paris,plain
252,dark-green,moscow,bavaria,fire,gold,lol,none,tiger
253,mint,muscat,army,btc,none,smile,dream,plain
255,blue,washington,night,eth,none,smile,messi,gold
256,dark-green,tehran,zobro,bro,3d,holmes,bravo,dalmation
258,brown,muscat,btc,happy,none,mexico,pirate,plain
259,dark-green,hulk,king,fire,xmen,candy,minnesota,ink
261,purple,none,shinobi,sus,android,sic,none,avatar
262,blue,rhodes,army,what,gold,smile,aantonop,plain
263,purple,nice,jordan,fire,gandhi,smile,none,plain
266,green,none,navy,what,thug,candy,bravo,dalmation
269,purple,none,naruto,where,thug,nyc,bingham,ape
272,brown,washington,track,sic,miami,love,ride,plain
275,green,none,samurai,sus,gold,bigo,london,plain
277,orange,muscat,none,bro,love,naples,ride,ape
281,teal,hulk,wallst,btc,none,smile,king,tiger
287,yellow,moscow,hawaii,sus,thug,nyc,pirate,plain
290,teal,washington,cupid,love,xmen,smile,minnesota,panda
294,blue,lebanon,none,what,zorro,bigo,bravo,tiger
297,purple,none,amazon,gotcha,thug,bigo,rico,tiger
298,mint,rhodes,rio,love,thug,love,food,plain
300,purple,tehran,btc,bro,potter,love,popeye,plain
302,red,none,rio,happy,xmen,holmes,ride,dalmation
306,red,none,night,gotcha,potter,lol,sparta,plain
307,dark-green,washington,eminem,happy,vegas,sic,none,tiger
309,purple,austin,sicily,happy,vegas,naples,oregon,ape
310,brown,none,virginia,fire,party,sic,ride,plain
311,mint,none,party,bro,android,naples,rico,plain
312,teal,none,space,happy,none,nyc,samurai,ink
314,yellow,moscow,space,gotcha,party,gurgaon,belair,plain
317,purple,washington,amazon,gotcha,matrix,naples,hell,plain
320,blue,none,farming,fire,gandhi,party,alabama,plain
321,orange,lebanon,none,where,vegas,bigo,jerusalem,plain
330,teal,none,venice,zobro,miami,nyc,devil,trippy
331,teal,lebanon,army,btc,none,love,none,ink
332,brown,tehran,rich,btc,none,420,sumo,avatar
333,blue,none,cold,what,party,cheeky,none,gold
334,orange,none,none,bro,potter,naples,kazan,plain
335,dark-green,none,none,happy,machine,cheeky,pirate,plain
336,yellow,rhodes,none,bro,party,cheeky,music,plain
338,red,washington,gold,what,xmen,smile,belair,tiger
343,purple,austin,gala,sus,matrix,gurgaon,ride,avatar
351,orange,nice,jdh,happy,matrix,cheeky,military,plain
354,brown,none,rich,sus,none,lol,food,dalmation
356,purple,none,monaco,bro,gandhi,bigo,belair,tiger
357,teal,none,none,zobro,gandhi,party,samurai,alien
358,red,none,ninja,bro,tech,smile,dream,plain
361,blue,none,ninja,gotcha,matrix,smile,london,dmt
365,purple,none,poker,sus,tech,lol,punk,plain
366,blue,moscow,rich,what,matrix,smile,ride,dalmation
370,mint,lebanon,guantanamo,bro,none,cheeky,popeye,ink
376,purple,moscow,cold,happy,tech,smile,rico,gold
385,orange,none,army,sus,gold,nyc,pods,tiger
386,red,none,none,love,android,lol,mexico,ape
387,green,none,none,bro,zorro,420,rico,plain
388,blue,none,lahore,fire,matrix,420,london,dalmation
389,yellow,none,jordan,bro,tech,smile,travolta,plain
