number,background,beard,dress,eyes,eyewear,face,head,skin,selected
1,blue,none,zion,sus,gandhi,smile,popeye,plain,no
2,green,nice,sicily,gotcha,vegas,cheeky,pods,avatar,no
3,blue,washington,king,bro,vegas,smile,scotland,plain,no
4,brown,none,naruto,zobro,none,candy,samurai,plain,no
5,blue,austin,track,sus,matrix,naples,messi,dalmation,no
6,red,none,none,lost,gandhi,sic,monk,tiger,no
7,green,tehran,malaga,sus,gandhi,party,london,trippy,no
8,purple,none,malibu,what,zorro,smile,devil,ink,no
9,blue,none,army,bro,3d,bigo,noogle,dmt,no
10,mint,none,shinobi,where,love,lol,nj,ink,no
11,red,none,none,what,none,gurgaon,pirate,dalmation,no
12,orange,none,none,lost,potter,vape,fireman,ink,no
13,purple,none,space,zobro,none,smile,hell,ink,no
14,yellow,nice,bavaria,bro,gandhi,smile,bingham,plain,no
15,green,none,amsterdam,sus,potter,party,pirate,ink,no
16,red,muscat,jdh,happy,tech,party,sparta,zombie,no
17,red,none,amazon,lost,thug,tobacco,angel,plain,no
18,mint,rhodes,kobe,bro,gold,love,minnesota,dalmation,no
19,teal,none,taipei,where,matrix,420,bravo,tiger,no
20,dark-green,lebanon,airforce,happy,party,party,music,machine,no
21,orange,none,space,bro,gandhi,smile,crete,dalmation,no
22,yellow,none,track,where,pirate,bigo,king,zombie,no
23,yellow,none,btc,bro,none,sic,minnesota,panda,no
24,red,none,none,bro,miami,naples,jerusalem,ink,no
25,teal,none,space,bro,3d,lol,minnesota,plain,no
26,green,none,party,what,gandhi,sic,angel,tiger,no
27,green,lebanon,malaga,bro,gandhi,candy,jerusalem,plain,no
28,dark-green,tehran,monaco,what,vision,smile,ninja,plain,no
29,yellow,none,malibu,sus,none,love,none,plain,no
30,purple,moscow,smart,where,vision,smile,scotland,trippy,no
31,orange,none,airforce,fire,office,havana,sparta,plain,no
32,orange,none,none,dead,matrix,naples,angel,avatar,no
33,yellow,none,bull,btc,none,420,fireman,tiger,no
34,green,none,mib,bro,matrix,sic,king,ink,no
35,purple,none,boston,where,machine,cheeky,pop,tiger,no
36,brown,muscat,smart,happy,machine,party,food,plain,no
37,green,none,nyc,dead,tech,bigo,noogle,plain,no
38,brown,none,zobro,eth,none,gurgaon,none,avatar,no
