file_name,new_name
0,Zo
1,Matrix
2,Sequin
3,Pink
4,Avril
5,Olive
6,Sweetheart
7,Violet
8,Peach
9,Diana
10,Trinity
11,Kate
12,Revenge
13,Little Red Riding Hood
14,Puffer
15,Track
16,Olive Oyl
17,Army
18,Navy
19,Air Force
20,Space
21,Chan
22,Guantanamo
23,Ride
24,Farming
25,Astronaut
26,Kimono
27,Kill
28,Law
29,Nine-Nine
30,Mithali
31,Cold
32,Eskimo
33,Margaret
34,Saree
35,Summer
36,Lime
37,Velma
38,Lara Croft
39,Malaga
40,Wonder Woman
41,Ana
42,Alicia
43,Barbie
