file_name,new_name
0,Minnesota
1,Noogle
2,Fireman
3,Dictator
4,Popeye
5,Samurai
6,Zorro
8,King
9,Guevara
10,Dadosa
11,Vegas
12,Kazan
13,NYC
14,Oregon
15,London
16,Sparta
17,Alabama
18,Scotland
19,Dream
20,Bingham
21,Pirate
22,Mexico
23,NJ
24,Wizard
25,Food
26,Panama
27,Cairo
28,Monk
29,Travolta
30,Bravo
31,Messi
32,Sumo
33,Military
34,Rico
35,Belair
36,Punk
37,Ride
38,Ronin
39,Pop
40,Aantonop
41,Music
42,AirPods
43,Angel
44,Hell
45,Altman
46,Rastafari
47,Ace Ventura
48,Lenon
49,Chaudhary
